Усолье Сибирское;018BCCE2A94FCFD3;52.7622383706;103.6425308962;8;10
Усть Илимск;015A1D85A50A4B03;57.9593593822;102.7753834505;8;10
Усть Кут;01C3BD79BD2F2207;56.8048338195;105.8584110518;8;10
Хамкар;0197ED57FC8AD8FC;61.9917030331;108.1813006182;8;10
Ханты-Мансийск;0108C284ABD51273;61.0227911682;69.0028958101;8;10
Хилок;01292D4A50AC4BB9;51.3657880265;110.451350667;8;10
Хребтовая;0190AD05A879CC45;56.7296070335;104.2654042025;8;10
Чернышевск;01A47C612C9F119E;52.5421287538;117.0088152666;8;10
Чечуйск;01D876353CFBB863;58.0781562977;108.7049000044;8;10
Чита;01F07DAC04F9B944;52.0385235967;113.4897141237;8;10
Эдучанка;01D1BFDC649C6FE1;57.3546325753;102.1328549166;8;10
Якутск;0126C094C04CB0FF;62.031267934;129.6954922457;8;10
Янталь;01C3D57E42A999F7;56.8466682843;105.2486805697;8;10
